year,mileage,make,model,price
2020,25000,Toyota,Camry,24500
2018,45000,Honda,Civic,19200
2019,32000,Ford,F-150,28700
2017,58000,Chevrolet,Malibu,16800
2021,18000,Nissan,Altima,22300
2016,72000,Toyota,Corolla,15400
2019,38000,Honda,Accord,21900
2020,29000,Ford,Explorer,26500
2018,51000,Chevrolet,Silverado,25200
2017,63000,Nissan,Sentra,14600
2022,12000,BMW,3 Series,35900
2019,41000,Mercedes-Benz,C-Class,32400
2020,27000,Audi,A4,29800
2018,48000,Volkswagen,Jetta,17900
2021,22000,Subaru,Outback,26700
2016,68000,Mazda,CX-5,18300
2019,35000,Hyundai,Elantra,17200
2020,31000,Toyota,RAV4,25900
2017,55000,Honda,CR-V,20100
2018,42000,Ford,Escape,19700
2021,16000,Chevrolet,Equinox,23400
2019,39000,Nissan,Rogue,21500
2016,71000,Toyota,Prius,16900
2020,28000,Honda,Pilot,29200
2018,46000,Ford,Mustang,26800
2017,59000,Chevrolet,Cruze,14200
2022,11000,Nissan,Pathfinder,32100
2019,37000,BMW,X3,38600
2020,25000,Mercedes-Benz,GLC,42300
2018,49000,Audi,Q5,31700
